gifUrl,title,source,Ytid
/static/eval/youtube-m7cO-lyaFDw_scene_556-7_561-4000000000001--progressive_fade.gif,,,m7cO-lyaFDw
/static/eval/youtube-mXbOMQ-0WWU_scene_104-312_109-512--time_symetrize.gif,,,mXbOMQ-0WWU
/static/eval/youtube-NYW763HaLQE_scene_82-5_91--time_symetrize.gif,,,NYW763HaLQE
/static/eval/youtube-POUrs_Aoe4s_scene_3-4_9-4--time_symetrize.gif,,,POUrs_Aoe4s
"/static/eval/youtube-pUum3OQuI24_scene_336-2_338-7--time_symetrize--maskInner_mask289,288,525,325.gif",,,pUum3OQuI24
"/static/eval/youtube-PV7sYqocxGw_scene_4-857_14-857--progressive_fade--maskLeft_mask0,59,599,81.gif",,,PV7sYqocxGw
/static/eval/youtube-QNXh8zQf_B8_scene_51-475_53-275--time_symetrize.gif,,,QNXh8zQf_B8
/static/eval/youtube-TY8Ky7a7ijw_scene_125-675_127-675--standard.gif,,,TY8Ky7a7ijw
"/static/eval/youtube-U4E0pri_t0s_scene_8-813_11-813--progressive_fade--maskRight_mask4,221,598,231.gif",,,U4E0pri_t0s
/static/eval/youtube-UaRCCA2rRR0_scene_101_104-2--time_symetrize.gif,,,UaRCCA2rRR0
/static/eval/youtube-Y_9vd4HWlVA_scene_402-813_408-813--progressive_fade.gif,,,Y_9vd4HWlVA
