gifUrl,title,source,Ytid
http://i.imgur.com/6mCWp0t.gif,"Protests flare in Milwaukee after the death of Dontre Hamilton, who was shot by a police officer",Erik Eljung for the New York Times,m7cO-lyaFDw
http://i.imgur.com/39J8oxV.gif,Protestors take to the streets again after Milwaukee County’s District Attorney John Chisholms announces that there will be no criminal charges for the officer who shot Dontre Hamilton,Erik Eljung for the New York Times,m7cO-lyaFDw
http://i.imgur.com/5VPg9tf.gif,"Cuba releases American Alan Gross, paves way for historic easing of American sanctions",The New York Times,ZS3GQhmLTis
http://i.imgur.com/22IACrW.gif,"The hospitality of Nigerians, not refugee camps, provide shelter for families like Malam Jato’s, who have fled Boko Haram attacks three times. But like many internally displaced Nigerians, Jato is unable to return to his home state to vote in the elections.",Abdulahi Kaura Abubakar for BBC,m7cO-lyaFDw
http://i.imgur.com/OB2hCUT.gif,"Abdullah Ahi now supports and houses his own children and the many children of his siblings and strangers, who have forced out of their homes and home states.",Abdulahi Kaura Abubakar for BBC,m7cO-lyaFDw
http://i.imgur.com/AoBA8UA.gif,"Despite traditions in Yemen, women are increasingly seeking a role in civic activity.",Mona El-Naggar for the New York Times,m7cO-lyaFDw
http://i.imgur.com/woD7POH.gif,American tourism already increasing in Cuba as relations thaw,Jim Avila for ABC News,GhhUTVOx33c
http://i.imgur.com/yBOOL9W.gif,The Milwauke police department's Chief Flynn states at a press conference that Officer Manning violated his training by frisking Dontre Hamilton on suspicion that Hamilton he was mentally ill.,Erik Eljung for the New York Times,m7cO-lyaFDw
http://i.imgur.com/DtdaFQg.gif,"The family of Dontre Hamilton, who was shot by a police officer in Milwauke, react to the announcement that Officer Wilson would not be indicted for the death of Michael Brown.",Erik Eljung for the New York Times,m7cO-lyaFDw
http://i.imgur.com/tzILQjD.gif,"As Pope Benedict XVI wraps up his three-day visit to Cuba, a government official rules out some of the reforms urged by the pontiff.",The New York Times,Z0RIJyk2KRU
http://i.imgur.com/Aqq030n.gif,The president discussed the move to normalize relations with Cuba during his State of the Union address.,The New York Times,ZS3GQhmLTis
http://i.imgur.com/39yGD7Q.gif,Many hope the Cuban Thaw can reform the country's struggling economy. ,The New York Times,Z0RIJyk2KRU
http://i.imgur.com/iKGCruY.gif,Police use of deadly force against unarmed black men has become a topic of national discussion and protests.,Erik Eljung for the New York Times,m7cO-lyaFDw
http://i.imgur.com/DUaW1LS.gif,Milwauke #BlackLivesMatter protestors block I-43 during rush-hour and into the night.,Erik Eljung for the New York Times,m7cO-lyaFDw
http://i.imgur.com/fxMmqiX.gif,"According to the US-Cuba deal, the US will roll back part of its economic restrictions set by the embargo, and Cuba will allow greater internet freedom in the country.",The New York Times,Z0RIJyk2KRU
http://i.imgur.com/BFjqy1f.gif,"Many Cubans hope the deal will bring more changes to the country, not just economic reform.",The New York Times,Z0RIJyk2KRU
http://i.imgur.com/v9sEY5J.gif,US-Cuba Deal could thaw a 50+ year Cold War in the Caribbean,BBC News,POUrs_Aoe4s
http://i.imgur.com/FshyBig.gif,"In Nigeria’s Election, Muhammadu Buhari Defeats Goodluck Jonathan",Abdulahi Kaura Abubakar for BBC,m7cO-lyaFDw
http://i.imgur.com/afm1bAE.gif,Children playing in the halls of an apartment complex.,World Bank,WA5Vs6M6OXc
http://i.imgur.com/UwaUzVq.gif,"On Wednesday night, on his TBS show, O’Brien aired a special that was assembled from a recent four-day trip he made to Havana. (The recurring joke is seeing his aggressive self-regard butt up against the indifference of the men and women he meets on the street.)","Ian Crouch for the New Yorker, Conan O'Brien on TBS",hjfogiltO80
http://i.imgur.com/QxUoran.gif,"We live turned away from the sea because it does not connect us, it encloses us. There is no movement on it. People are not allowed to buy boats because if they had boats, they would go to Florida. We are left, as one of our poets put it, with the unhappy circumstance of water at every turn.","Yaoni SanchÈz, interviewed by the New York Times. Footage from ABC News.",GhhUTVOx33c
http://i.imgur.com/OdOfO0L.gif,"Wisconsin has a one-year-old law that mandates that an outside agency investigate cases of police shootings. The law was championed by Michael Bell after his son was shot by a police officer in Kenosha, Wis., in 2004.",Erik Eljung for the New York Times,m7cO-lyaFDw
http://i.imgur.com/11Dmb4U.gif,"Since the northern Nigerian town of Baga was brutally attacked and seized by the Islamist militant group Boko Haram, the exact death toll remains unknown. A BBC investigation has gathered eyewitness testimony from those who managed to escape to refugee camps in neighboring Chad.",Thomas Fessey for BBC News,89xoSTkn8Wo
http://i.imgur.com/0tPPq1G.gif,"Rich and Dee Gibson own Incredible Pyro, and have spent more than 30 years traveling around the world planning explosions for air shows.",Colin Sonner and Brandon Welch for the New York Times.,2jLdvEF4DKk
http://i.imgur.com/BPcxiIY.gif,"A young survivor who fled Baga, in northern Nigeria, when it was brutally attacked and seized by the Islamist militant group Boko Haram",Thomas Fessey for BBC News,89xoSTkn8Wo
